model,input,output,bleu_score,inference_time
marian_opus_ja_en,ゲイル 酔ってる?,"Gail, are you drunk?",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,注意しろ,Be careful.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,最後の引き出しが 5日前にあった,The last drawer was found five days ago.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,僕が自殺し 物語を完成させる,I'll kill myself and finish the story.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,国際犯罪に起きたのか?,What happened to international crime?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,皆さんのiphoneで この活動に繋がってください,I'm going to give you a couple of examples.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,なら ついてくればいいでしょ,Then why don't you follow me?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,それで こんなザマに 理由なんて どうでもいい,So I don't care why you're doing this.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,ああ 約束するぜ!,"Yeah, I promise!",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,ダイナマイト tnt 雷酸水銀,dynamite tnt mercury lightning.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,売っちゃうよ! あの家。 家族みんな バラバラだよ。,That house is going to sell!,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,遅いわよ,You're late.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,携帯を出したら,I'll get your phone.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,やめろ やめるんだ,"No, no, no, no, no, no, no.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,裁判所の判断によっては 子供たちは定期的に,The court's judgment is that the children are regularly...,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,役者も まだ。 監督も まだ。 もちろん 企画も まだ。,"The actors and the director are still there. - Of course, the plan is still in progress.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,問題ない,No problem.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,駆除業者に捕まれば 二度と戻っては来られまい,"If the exterminators catch you, you'll never come back.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,我らの役目...。,Our job...,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,レトロウイルスによるもの?,Is this from the Retrovirus?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,ユーリ!,Yuri!,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,何とかクリスマスまでに 彼女が欲しいんだよ,I'm gonna need her by Christmas somehow.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,あなたは4年の間 ボトルの底にいる,You've been at the bottom of the bottle for four years.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,レゴが提供しているcadプログラムでは不十分です,And then we're going to have to do a little bit more of this.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,治療行為なの,It's an act of treatment.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,観客が誰もいない ガラ空きだわ,There's no one in the audience. It's empty.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,何か共通した結論を導くことができるでしょうか?,Can we draw any common conclusions?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,やばい、ふわふわしている変な助手に変えた!,"Oh, my God, you've turned me into a weird assistant!",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,この像をこんな風に包むために買いました,I bought this statue to wrap it up like this.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,娘が生まれた頃に 撮ったので,I took it when my daughter was born.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,あのトレンサム伯爵夫人は―― お金をせびりに来たのよ,I'm sure that Count Trentham came here just to get his money.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,それに 会社の決定に 逆らう気もない。,And I'm not going against the company's decision.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,なぜです,Why?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,昨日のことも覚えていられない,I can't even remember what happened yesterday.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,最近の血のりは よくできてる,I've been very good with blood these days.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,動かないで 説明する,Don't move. I'll explain.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,いや、ジェイコブって名前じゃなくって,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,変だな 他の事には...,That's funny.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,クロームのこと。 クロームの?,About Clom.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,でも 評決は まだ読み上げられて無い 法律的には まだ終わってないよ,"But the verdict hasn't been read yet. Technically, it's not over yet.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,metricsはデータを数値的に表示します,We're going to go through all of the data.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,追えるぞ,We can track him.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,また動いたんだと思う,I think it moved again.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,ビクター・トレジオ一家 リゾート・インターナショナルを運営する...,Victor Trentios and his team run a resort international...,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,あなたは彼女を守っているようだけど?,"You seem to be protecting her, don't you?",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,この状況を 誤解したかもしれない,I may have misunderstood this situation.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,お金持ちじゃないと,I thought you were rich.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,美由貴先生 いませんね。,"Mito Sensei, there's no one here.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,防護服なんて 何の意味もねえよ! ブッスリ いかれたら おしまいだよ。,"You don't have any protection! If you're knocked out, you're done.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,一緒に!,Together!,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,月白も 白漣も ルキアの技だ!,The moon and the moon are all Rukia's tricks!,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,最初はうまく いかなかったんだよ,It didn't work out at first.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,なぜなら 中国政府は 米国政府が監視している,Because the Chinese government is being watched by the U.S. government.,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,さあ 早くスタートしなきゃ。,"Come on, we have to get started.",0.07539606488661985,0.09361971781505801
marian_opus_ja_en,殺人?,Murder?,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,お父さんたちのオアシスです。 頼むよ!,It's your dad's oasis. Please!,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,M.H... 」,M.H....,0.07539606488661985,0.09361971781505801
marian_opus_ja_en,実際に尻尾も使っています,And you can see that it's actually using tail.,0.07539606488661985,0.09361971781505801
